"","GEOID","NAME","Mid_Income","Mid_nonfamily_income","Time_toWork","Walk_Time_toWork","Time_trans","Time_Taxicab","Time_Motorcycle","Time_Bicycle","Time_Walked","Time_Other means","Num_Child"
"1","48001","Anderson County, Texas",2728,498,1040,84,118,33,9,33,84,116,405
"2","48005","Angelina County, Texas",2450,708,1029,242,119,33,33,21,242,116,636
"3","48007","Aransas County, Texas",8481,467,575,92,102,26,32,28,92,95,369
"4","48011","Armstrong County, Texas",5604,57,94,27,10,14,14,14,27,10,57
"5","48013","Atascosa County, Texas",2620,568,845,118,197,33,78,33,118,184,637
"6","48017","Bailey County, Texas",35559,1115,1188,302,283,20,20,96,302,287,383
"7","48019","Bandera County, Texas",4410,374,501,106,36,26,19,26,106,24,272
"8","48023","Baylor County, Texas",6391,141,198,62,14,14,14,14,62,14,118
"9","48025","Bee County, Texas",5775,519,639,114,94,30,30,32,114,89,360
"10","48029","Bexar County, Texas",607,3300,5926,1224,1241,420,245,437,1224,1198,3440
"11","48031","Blanco County, Texas",6156,245,283,46,40,22,25,26,46,15,189
"12","48035","Bosque County, Texas",3178,250,297,67,57,22,15,22,67,57,185
"13","48039","Brazoria County, Texas",3025,1488,2230,346,443,50,138,71,346,389,1492
"14","48041","Brazos County, Texas",1413,1372,1932,427,585,49,105,445,427,303,660
"15","48045","Briscoe County, Texas",6136,68,84,6,24,14,14,14,6,24,72
"16","48047","Brooks County, Texas",4795,309,406,108,20,20,20,20,108,20,279
"17","48051","Burleson County, Texas",8744,311,419,44,64,22,22,22,44,64,267
"18","48053","Burnet County, Texas",2935,539,802,148,114,30,26,30,148,112,389
"19","48057","Calhoun County, Texas",6165,358,484,121,12,26,12,26,121,26,310
"20","48059","Callahan County, Texas",4452,200,373,41,47,22,22,8,41,47,170
"21","48063","Camp County, Texas",6103,262,327,70,91,22,10,22,70,93,199
"22","48065","Carson County, Texas",3692,148,206,49,20,20,20,20,49,20,111
"23","48069","Castro County, Texas",4131,150,213,72,20,20,20,20,72,20,180
"24","48071","Chambers County, Texas",11681,615,859,201,135,30,30,74,201,126,531
"25","48075","Childress County, Texas",6365,171,320,89,43,20,43,20,89,20,143
"26","48077","Clay County, Texas",5946,149,235,74,6,22,22,22,74,6,120
"27","48081","Coke County, Texas",8128,132,121,40,14,14,14,14,40,14,55
"28","48083","Coleman County, Texas",4117,197,213,23,47,20,20,47,23,20,147
"29","48087","Collingsworth County, Texas",5956,76,151,45,14,14,14,14,45,14,72
"30","48089","Colorado County, Texas",3733,331,436,159,91,26,41,59,159,53,324
"31","48091","Comal County, Texas",2651,899,1448,299,297,33,75,116,299,261,578
"32","48093","Comanche County, Texas",3908,210,285,29,51,22,22,22,29,51,218
"33","48095","Concho County, Texas",11731,80,309,11,14,14,14,14,11,14,32
"34","48097","Cooke County, Texas",4416,393,704,104,117,11,6,22,104,123,361
"35","48099","Coryell County, Texas",2277,554,809,320,108,18,58,33,320,101,404
"36","48101","Cottle County, Texas",11139,88,141,54,14,14,14,14,54,14,112
"37","48103","Crane County, Texas",17024,175,148,14,20,14,14,14,14,20,95
"38","48105","Crockett County, Texas",9216,151,269,49,14,14,14,14,49,14,178
"39","48107","Crosby County, Texas",4955,97,119,31,56,22,20,20,31,50,66
"40","48109","Culberson County, Texas",11780,123,190,16,35,14,14,14,16,35,229
"41","48111","Dallam County, Texas",4219,168,250,45,6,20,20,20,45,6,122
"42","48113","Dallas County, Texas",471,4024,6360,1170,1342,321,270,355,1170,1364,3470
"43","48115","Dawson County, Texas",9069,272,312,54,32,22,17,22,54,28,284
"44","48117","Deaf Smith County, Texas",4707,246,350,57,35,22,22,22,57,35,369
"45","48119","Delta County, Texas",10983,170,175,14,29,20,20,27,14,9,73
"46","48121","Denton County, Texas",1531,2385,3749,612,822,213,261,252,612,840,1017
"47","48123","DeWitt County, Texas",6660,265,427,43,91,26,60,51,43,59,177
"48","48125","Dickens County, Texas",7958,78,79,59,39,14,7,14,59,38,68
"49","48127","Dimmit County, Texas",12247,227,444,28,47,22,22,22,28,47,324
"50","48129","Donley County, Texas",7292,106,150,16,7,14,14,7,16,14,33
"51","48131","Duval County, Texas",7591,210,346,57,83,22,48,22,57,70,225
"52","48135","Ector County, Texas",2438,1112,1515,469,218,72,47,64,469,205,1100
"53","48137","Edwards County, Texas",7115,98,196,14,14,14,14,14,14,14,119
"54","48141","El Paso County, Texas",1043,2174,3503,511,778,99,190,151,511,722,2434
"55","48143","Erath County, Texas",4591,501,745,167,277,30,65,271,167,56,387
"56","48147","Fannin County, Texas",3258,328,523,108,66,30,37,9,108,56,268
"57","48149","Fayette County, Texas",4911,364,528,119,61,26,26,26,119,61,181
"58","48153","Floyd County, Texas",2891,118,166,78,25,20,20,20,78,25,89
"59","48155","Foard County, Texas",11396,54,105,19,14,14,14,14,19,14,79
"60","48159","Franklin County, Texas",3774,241,339,43,34,22,19,22,43,27,149
"61","48161","Freestone County, Texas",6074,254,465,28,81,22,24,2,28,73,142
"62","48165","Gaines County, Texas",5676,281,443,187,237,26,26,39,187,241,380
"63","48169","Garza County, Texas",19236,129,241,34,20,20,20,20,34,20,138
"64","48171","Gillespie County, Texas",4525,444,569,216,54,26,26,22,216,46,354
"65","48175","Goliad County, Texas",14640,187,236,58,20,20,20,20,58,20,174
"66","48177","Gonzales County, Texas",5355,388,345,133,150,26,26,26,133,150,238
"67","48181","Grayson County, Texas",2001,879,1117,234,250,21,85,72,234,221,671
"68","48183","Gregg County, Texas",1820,831,1292,203,167,33,11,79,203,138,577
"69","48187","Guadalupe County, Texas",1690,777,1402,172,251,33,59,67,172,227,668
"70","48189","Hale County, Texas",3708,346,493,79,49,30,30,30,79,49,325
"71","48193","Hamilton County, Texas",7408,213,250,61,16,20,20,20,61,16,156
"72","48195","Hansford County, Texas",12855,133,213,40,19,20,20,6,40,18,98
"73","48199","Hardin County, Texas",4196,671,806,80,126,33,10,50,80,104,376
"74","48201","Harris County, Texas",607,6226,8922,2052,2412,522,526,925,2052,2163,4573
"75","48205","Hartley County, Texas",7378,117,182,45,16,20,13,9,45,20,59
"76","48207","Haskell County, Texas",5682,134,251,45,20,20,20,20,45,20,55
"77","48211","Hemphill County, Texas",17072,118,194,63,14,14,14,14,63,14,116
"78","48213","Henderson County, Texas",2488,664,1220,251,86,33,22,33,251,80,462
"79","48217","Hill County, Texas",2801,330,430,59,52,4,8,20,59,45,248
"80","48219","Hockley County, Texas",2775,278,380,81,78,26,26,15,81,77,242
"81","48223","Hopkins County, Texas",3530,316,505,70,51,22,28,30,70,40,321
"82","48225","Houston County, Texas",2097,318,526,57,32,26,26,26,57,32,231
"83","48229","Hudspeth County, Texas",6170,146,295,47,14,14,14,14,47,14,192
"84","48231","Hunt County, Texas",2057,564,1034,244,153,40,42,62,244,117,520
"85","48235","Irion County, Texas",10649,59,94,17,8,14,8,14,17,14,92
"86","48237","Jack County, Texas",5771,168,247,40,22,20,20,20,40,22,97
"87","48241","Jasper County, Texas",4174,543,773,189,240,30,45,30,189,241,435
"88","48243","Jeff Davis County, Texas",NA,1062,1099,183,46,14,14,14,183,46,382
"89","48247","Jim Hogg County, Texas",5914,142,309,37,30,20,20,20,37,30,355
"90","48249","Jim Wells County, Texas",5537,386,691,213,91,30,19,30,213,88,716
"91","48253","Jones County, Texas",6265,283,463,98,18,22,22,22,98,18,203
"92","48255","Karnes County, Texas",6740,271,370,30,17,22,5,22,30,16,257
"93","48257","Kaufman County, Texas",2856,692,1146,150,252,33,52,58,150,241,667
